metric_name,metric_value,scenario,n,salary,i
pension,1884.569312969605,iis,15,200000,1
kz,0.11307415877817632,iis,15,200000,1
savings,539626.5841814656,iis,15,200000,2
roi,1.6344386065979815,iis,15,200000,2
irr,0.11484627439844397,iis,15,200000,2
twr,0.11301788618828068,iis,15,200000,2
pension,1991.925583988105,iis,15,200000,2
kz,0.11951553503928632,iis,15,200000,2
savings,337993.36247816513,iis,15,200000,3
roi,0.6500720850085334,iis,15,200000,3
irr,0.060903369162550236,iis,15,200000,3
twr,0.06710209751165785,iis,15,200000,3
pension,1247.6361351982973,iis,15,200000,3
kz,0.07485816811189785,iis,15,200000,3
savings,444585.14531217254,iis,15,200000,4
roi,1.1704495387434415,iis,15,200000,4
irr,0.09276664376743149,iis,15,200000,4
twr,0.09930884480122315,iis,15,200000,4
pension,1641.098773055597,iis,15,200000,4
kz,0.09846592638333583,iis,15,200000,4
savings,530795.7244862716,iis,15,200000,5
roi,1.5913266503073964,iis,15,200000,5
irr,0.11297768749256765,iis,15,200000,5
twr,0.11070119341391194,iis,15,200000,5
pension,1959.3281992944871,iis,15,200000,5
kz,0.11755969195766924,iis,15,200000,5
savings,266595.0691084123,iis,15,200000,6
roi,0.3015080482982272,iis,15,200000,6
irr,0.03255820904411966,iis,15,200000,6
twr,0.043299765166114,iis,15,200000,6
pension,984.0833537280777,iis,15,200000,6
kz,0.05904500122368467,iis,15,200000,6
savings,361577.0610252713,iis,15,200000,7
roi,0.7652068981554933,iis,15,200000,7
irr,0.06882191234053292,iis,15,200000,7
twr,0.0799985167174766,iis,15,200000,7
pension,1334.6907279076263,iis,15,200000,7
kz,0.08008144367445759,iis,15,200000,7
savings,427695.1203053266,iis,15,200000,8
roi,1.0879930118621097,iis,15,200000,8
irr,0.08831269240828932,iis,15,200000,8
twr,0.09323484456554687,iis,15,200000,8
pension,1578.752561968966,iis,15,200000,8
kz,0.09472515371813797,iis,15,200000,8
savings,465116.90273943887,iis,15,200000,9
roi,1.2706848792794185,iis,15,200000,9
irr,0.09794070935160515,iis,15,200000,9
twr,0.09574746976601056,iis,15,200000,9
pension,1716.8877243461368,iis,15,200000,9
kz,0.10301326346076822,iis,15,200000,9
savings,82300.5222236084,iis,15,50000,0
roi,0.607153386765974,iis,15,50000,0
irr,0.05779391629306474,iis,15,50000,0
twr,0.05210976664673783,iis,15,50000,0
pension,303.79621871567883,iis,15,50000,0
kz,0.07291109249176293,iis,15,50000,0
savings,152441.33221650196,iis,15,50000,1
roi,1.9768535695219367,iis,15,50000,1
irr,0.12862403782104503,iis,15,50000,1
twr,0.10472576737859662,iis,15,50000,1
pension,562.707247197385,iis,15,50000,1
kz,0.1350497393273724,iis,15,50000,1
savings,91070.13360226207,iis,15,50000,2
roi,0.7784051631463393,iis,15,50000,2
irr,0.069693079772422,iis,15,50000,2
twr,0.08399670181188323,iis,15,50000,2
pension,336.16751727442283,iis,15,50000,2
kz,0.0806802041458615,iis,15,50000,2
savings,134490.0723020871,iis,15,50000,3
roi,1.626303811286111,iis,15,50000,3
irr,0.11449619871022043,iis,15,50000,3
twr,0.1050979144542239,iis,15,50000,3
pension,496.4436958147523,iis,15,50000,3
kz,0.11914648699554056,iis,15,50000,3
